Id,Closeness_centrality,Betweeness_centrality,Clustering_Coefficient,Popularity_score
58wLkdCli1ThP9v0yubKKH,0.22916666666666666,0.0,0,46
6qEGPchUGlo8ANmT0djkke,0.22916666666666666,0.0,0,38
1BkdvKE1YNIAAWrLNzLWKU,0.22916666666666666,0.0,0,47
6758RYtQUoFGOvE0jUxQvK,0.24453035761356648,0.0010966428575367837,0.23809523809523808,28
0cm06WHQjMYksj2qd7x0MT,0.22916666666666666,0.0,0,36
2e74rRgiMM4L5forPpjkZR,0.22916666666666666,0.0,0,63
1xsYReh7zhty26wD4tprKh,0.25105999097880016,0.00045906380648038107,0.4,61
0hk4xVujcyOr6USD95wcWb,0.2945596951735817,0.004060155743896835,0.10294117647058823,44
5appupCr1pI8I1k3AWstc6,0.2504048947273709,0.00012064196593176716,0.4,51
5YV5crRpcdknHgEzystZHr,0.2429718875502008,0.0,1.0,65
1KQJOTeIMbixtnSWY4sYs2,0.29110878661087863,0.0002364858061123916,0.39285714285714285,67
2K5nCggbhSZ00YCYP5qkZS,0.31449881342524577,0.006092803198166598,0.1368421052631579,72
4upwdFMlZBmQ68jP9jPzjK,0.32648991083998125,0.028577917098962558,0.14202220923436587,73
3MkkSf3u5KU52Mb2iMrqeX,0.31642978965321206,0.01604027808039328,0.14274509803921567,60
0CXnO9kUawdDjzToSqCC3p,0.2609714928732183,0.0008423443912964615,0.23809523809523808,28
5ySwuZsGB1USoDuIVW2zyr,0.2430143206426825,0.0,1.0,56
7zPS3i8YJBNeDcqXUHfCMr,0.24263295553618133,0.0,0,74
056KMTw6IztdQjBmFfVyO3,0.2880654176586275,0.006131011211362898,0.11764705882352941,38
0G7LPCHP4W90pTLwPAbXHU,0.24263295553618133,0.0,0,63
7FeObngbQ0GY3SojNwKdKn,0.2643175990122519,0.0004332529042600463,0.3333333333333333,50
7muPB2GhV0sEg2K1Fgj0Xm,0.29233193277310926,0.009294588138880806,0.11576354679802955,67
3egWSWp7Y4FyCKIyvXbw7L,0.28296898830706657,0.002188681175589511,0.12727272727272726,60
65ddsrNChT3wol9kEIJqKY,0.2704304732290351,0.001563849401787034,0.2909090909090909,44
1eMrj0akHMVF8HpxG1OrLD,0.25999626307922274,0.0072007883973514665,0.06666666666666667,39
2UED7orH77Ei8kwVG4TNAJ,0.24286586962213108,0.0,1.0,70
3fhMfkPPzksWuw0hEm4ldm,0.3052539212460239,0.0038449191177303884,0.28,66
6qFt3TjvxMt77YGsktWG8Z,0.24823833734724823,0.020313266690879562,0.0033613445378151263,43
4RrtqH6egYYBfJrnLkhINz,0.30031293838351136,0.019966729421974923,0.0196078431372549,72
19i93sA0D7yS9dYoVNBqAA,0.2774122807017544,0.0010369149731321399,0.3416666666666667,53
7h1amg0X7Q5d0D5KfuyKTg,0.2724158183241973,0.00011796429150635898,0.2,69
61bQ4nwIioR8w6PGxzpyY3,0.2650981139264622,0.0022794483000913575,0.09523809523809523,66
7u710e44HW3K7A5eTnRqHC,0.3195911805236564,0.02544450324216957,0.10637054354178843,57
3sC3sCpqSYClSdKez9Rs6k,0.2949655537890832,0.008830739441469495,0.05291005291005291,60
7GgpsUpkj3olseoaTY7TEY,0.29202518363064006,0.004630502753305352,0.19166666666666668,52
5WBincqAirIREkG5sXqeyq,0.25818721588273497,0.0014625213603793837,0.2857142857142857,64
6jQZzWW3JlEtcRDSzFVKSP,0.28661174047373844,0.007579620862017489,0.17634408602150536,64
49UAapOfpOg1ZOU4xf2NgY,0.3135068153655514,0.01652220979544326,0.11875843454790823,80
5AZuEF0feCXMkUCwQiQlW7,0.315139848261805,0.013383246439869984,0.14675052410901468,51
5q3dEXWaAsS0FyNelUR4Vq,0.24472388322194866,0.0,0,52
3X9nkz31tAOM25rdtzfi60,0.2508789326602362,0.0,1.0,59
0ffKEtMDnROKWyJtXUnLbJ,0.28182278481012657,0.01003205070144199,0.0928030303030303,69
5dXlc7MnpaTeUIsHLVe3n4,0.27050933125972004,0.0009198588750567929,0.38461538461538464,51
2BBgFkNBBMln3m2G2Bm2bt,0.24472388322194866,0.0,0,56
2aya6KuqjXEhHBqYKsTPLs,0.29059204343740214,8.290181843861537e-05,0.6,48
7fE7lNK6tsXhCOfYfxQ3wT,0.268551577728457,0.0049682878289089875,0.0718954248366013,34
0o75YCEpFIA5hy8g4DJCYR,0.25281613372093026,0.0014370395590151048,0.3,77
4exLIFE8sISLr28sqG1qNX,0.29053137070675433,0.027331785593960743,0,26
44hMtyteVdHHM7QYy7FDms,0.24472388322194866,0.0,0,36
7CYwuhZwBcxavIrRhnZxQc,0.25270135294651774,3.175273216164957e-05,0.6666666666666666,7
4PnOeTfPcAlMEaIIQJYsKr,0.24472388322194866,0.0,0,4
1TxjyTbiUlVvGxjaQFSh8t,0.24472388322194866,0.0,0,8
63YJwSBmVMO2MJmR7Um9Eu,0.24472388322194866,0.0,0,21
50P2kCMUEDT9YGBa5bdPV5,0.24472388322194866,0.0,0,5
6aVX5W2NvsVknEXI2MpVFl,0.2448099929627023,0.0014370395590151048,0,12
5x9YUwy9sfdnX2MBOTczVo,0.24506868615709756,0.0057419585327678855,0,4
6QObiYV2TNEzgucSseW5U1,0.24472388322194866,0.0,0,33
1CO6gl6tx1Ter4PZKKE2NT,0.25501695225877397,0.005325250700080843,0.10526315789473684,12
0qMklKzb31y72hNYLz8Ci1,0.24498239436619718,0.004308018825399047,0,51
5pbBGJlVCUzwmdfd1Q1tEX,0.2718569893523493,0.026791312188272954,0.02628968253968254,24
3plDywWQj4sFUs8UXqv1Mv,0.24472388322194866,0.0,0,48
63isdzBiMOaYkMiX6XddfB,0.25555555555555554,0.00081580974442875,0.26666666666666666,50
6g5SF1Yz63eoPUnJgRHfrz,0.25431782874897196,1.8692203036622894e-05,0.8333333333333334,60
2KXYAKQTxHuUHDtVgeGn6w,0.3100144814526011,0.01841429118124117,0.07624113475177305,51
64UHlFDUkT8Hx3RCtDUieN,0.271989835809226,0.02374782662105469,0.0015873015873015873,52
6dKdNHGdsBvEeNDxXV8AMP,0.3197013210798392,0.024106064173199562,0.15853658536585366,26
3cHtXBLCuSZ6uLmxuMnFQx,0.27359418010224146,0.002349890957969894,0.22943722943722944,36
0LhpncWOh05kPQvBxScHLI,0.30034534858622924,0.004530142193742769,0.167816091954023,14
5ziZuZrOgAETyQSpmkbEZt,0.24472388322194866,0.0,0,32
36vcmmXCPj6P7b2p3E5VPI,0.24750978299537532,0.0,1.0,30
2mNvEW2aKCYBeDc8QbEESC,0.2448099929627023,0.0014370395590151048,0,57
6PXiPeUVFrlaC1n8511ijT,0.30666666666666664,0.0017072936245238314,0.3484848484848485,62
2E6AK3UPEGCvjnzuygCh2h,0.3231162196679438,0.03200282374092833,0.06392405063291139,43
7JL4DyVnKVldvwWoSnLtCM,0.2527931692251794,0.00011794095558751335,0.3333333333333333,57
0W0oW3iaBwbtcXqdDrfC6F,0.3040533158527259,0.003449255076070392,0.3263157894736842,61
3WrMBQYO99lzSOhYGPiVoQ,0.3124158060170633,0.02059437441709948,0.08329979879275654,63
2KkO9uXHF9BVNJASjLekAc,0.26304347826086955,0.0006161897742503622,0.21212121212121213,46
1Bkzb6WJ348VTlTrnJuqIz,0.22512538424203205,0.0007275310212111995,0,41
3kgjDFMkBBMlr7DXoBYDA0,0.24845995893223818,0.001133715670205326,0.35714285714285715,66
29nrwultxQ8jENVmXoyMqK,0.29424825544512584,0.0060167519819371755,0.13756613756613756,22
5v8gMYxBo6dhVr0ktS8CX4,0.2252894033837934,0.0,1.0,6
59qfXzXBqpYuh3UtblqOhW,0.22525293403480373,0.0009007820690482473,0.16666666666666666,6
6c8DRgzJ322HpJFc78HQ0j,0.2250525634805111,0.0,0,7
6GGKWlf2Md3Cm3to7RBmBN,0.2250525634805111,0.0,0,9
0joyZTSfnR8IqJB6PV9wgu,0.2250525634805111,0.0,0,19
1Bt8RmyfBi8j4r5SzSVhjj,0.2250525634805111,0.0,0,13
39GoQxGRmASq5tfsTzqml0,0.2252894033837934,0.0,1.0,20
26ubAAqhQAZHqabgL0y4kW,0.2250525634805111,0.0,0,23
4FVOcSxCCvonNnyHWvJzhb,0.22554501985574196,0.008607125577315078,0.025,4
346kAb1YmUgO1Rvlkyj15D,0.2252894033837934,0.0,1.0,73
7IlRNXHjoOCgEAWN5qYksg,0.25394652796788025,0.007537152323704693,0,74
4az97MtWmBQ5Db3GfDh9j9,0.2533916052080488,0.0007186489399928136,0,75
7b79bQFziJFedJb75k6hFt,0.2595839940304076,0.03423898034125855,0,87
2hlmm7s2ICUX0LVIhVFlZQ,0.30963506898086335,0.03600972179205168,0.03193033381712627,85
6jGMq4yGs7aQzuGsMgVgZR,0.2888427607680332,0.009666683220014287,0.03684210526315789,84
31W5EY0aAly4Qieq6OFu6I,0.2908957876032194,0.020964970989914216,0.03903903903903904,77
3CJKkU0XuElRT1z8rEtIYg,0.2712211285449761,0.01917881751457535,0,80
6Te49r3A6f5BiIgBRxH7FH,0.256876499907698,0.014534721390709401,0.003952569169960474,56
2BNVHk103mhpIy5ytlCHTT,0.2778831752371443,0.006589197854971583,0.04285714285714286,13
3SwNV4Hg1EtHr0DyYyKjCz,0.2566159520516367,0.0,1.0,37
4PPkRMbw2jIs7flJkl4okf,0.2566159520516367,0.0,1.0,17
7eFAtYmUL0gIkHnVJYkqKW,0.2782165350394882,0.006028167322817036,0.03296703296703297,57
5gYADZXuZoaJwrwfAPbKuH,0.29041010122091204,0.006584564846674815,0.14285714285714285,54
6ZpOQK1OKdCybuOgMkdbUh,0.2458915002650645,0.0021935817517902056,0.09523809523809523,69
3bvfu2KAve4lPHrhEFDZna,0.22635217568117122,0.008772293291859301,0.007352941176470588,58
6hb3ftxbKAFsOiNCdFbyzJ,0.24803921568627452,0.000798374059227034,0.06666666666666667,47
5Weajr5biqrfs2QaSMUhCG,0.22299679487179488,0.0,1.0,50
3wDn3kW2zDRLnaQAnX0S3x,0.22981007431874484,0.0,0,66
6hkKbkZGvAXuvle2FhCnxy,0.30768380320619126,0.016385886292362435,0.08813559322033898,61
63pCdEiziMCDjGOdM1XCrJ,0.28196555217831815,3.4854038991969906e-05,0.6666666666666666,66
7gjqZ8coFZimZDtdk04WP1,0.30441916429665283,0.005780663616162414,0.1477832512315271,62
5RiGhrEoM1SBjZoY25lCfe,0.28170867496710195,0.0008782578954616768,0.16666666666666666,67
21dooacK2WGBB5amYvKyfM,0.27899749373433586,0.004896614274328365,0.021645021645021644,56
4UikIA2yhd0jVJSXD9IOJH,0.3002481389578164,0.0027780152033439597,0.10606060606060606,41
4qIoIeQMYVvtWqJYMF354H,0.2549702244617499,6.670216488841588e-07,0.6666666666666666,58
5BNE7AF1Sp5bWiqtXpekFq,0.29628446715639306,0.0004147495110808411,0.4393939393939394,42
0GaXpJSu3Ka0RPEVa35VPg,0.27936157398112826,0.0007186489399928133,0.3333333333333333,44
0W7yEx7tCUH0FGMHB3DUL8,0.28658222634126246,0.0004252860234034232,0.4666666666666667,35
6FZ6p42HnE0rs0GRRmXuLo,0.28122473726758285,0.002917163892252918,0.047619047619047616,39
0sFpREh3MXhfRxOFZVStVG,0.29742438815859784,0.0012192240868512576,0.4642857142857143,40
6GNKEqtVedvHFdhsdDtg2d,0.2982531347122495,0.009248976239625626,0.1396011396011396,61
725KKhVCSCQbYkZBptBTfg,0.2974879743452699,0.005852938320234009,0.07246376811594203,44
6yGn8XOk9ZS6vUFf10sP96,0.3027962136873028,0.0209615689931379,0.043434343434343436,40
3xaOS4EuhPKa2wV01mH7oe,0.3006048822639879,0.006654060684013186,0.12923076923076923,26
4qbPsaz6MU1B0lyUXITJeJ,0.28741092636579574,0.005870108131549172,0.06060606060606061,45
4lXqyfnO42fw7mPGF5ZXjR,0.2995049504950495,0.041322841280686105,0.014809329877823029,35
3fe7sEsyZiMKV8T2vW3EoA,0.2917190775681342,0.0024796528618917985,0.29523809523809524,35
5oGHd7AZ8Sr05S5MP5SnYC,0.29257779646761983,0.017871581688928793,0.04126984126984127,19
3Y0ccXFrUeRPlnEzXmDeWa,0.2859932175521529,0.0,1.0,30
5wc0IxnlWp9pqSduPbyvZh,0.28285394857200935,0.0,1.0,57
1gs79u8PKkWAW1yfymbkTt,0.28311291963377416,2.339504930074343e-05,0.6666666666666666,52
1eznSku2RY9VSvkhWxXdmx,0.2846476424261021,0.0002665730150771287,0.3,41
0qts5zYDAeK8dBmrdF2Zwq,0.2795580110497238,0.0,1.0,65
06nvjg4wBANK6DCHjqtPNd,0.2916273708477418,0.0017160807950432329,0.34545454545454546,46
