Artists_Id,Popularities,Followers,Num_Albums,Page_rank,Closeness_centralities,Degree_centralities
5YxebzzreNswbtYC1td4cx,0.62,0.008432287191812706,0.011937557392102846,0.00025930712518763843,0.3155977830562154,0.002508780732563974
5QdEbQJ3ylBnc3gsIASAT5,0.8,0.015472408999126785,0.01652892561983471,0.0011383591039385572,0.3639517896274653,0.02007024586051179
1A9o3Ljt67pFZ89YtPPL5X,0.71,0.008034008647031568,0.005509641873278237,0.0003106171741507153,0.3090401612653125,0.004014049172102358
7gWumE1wMALHXANLSIt054,0.59,0.006877642915255914,0.005509641873278237,0.00033885704725198306,0.3536195883605394,0.005017561465127948
65OtBLtkrifQrdTlKI90IR,0.48,0.002219478950503031,0.011937557392102846,0.00025487896680488555,0.34214592274678113,0.0030105368790767683
4YgS09y0GhtNSu2ZLruk89,0.21,0.00013434757324702937,0.004591368227731864,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
2xMBRdUYQjgJezQ8lNGQq5,0.34,9.41923842988782e-05,0.0,0.000321274605389406,0.30128495842781555,0.002508780732563974
6sKLLGj7SqbP2qDBdEOoZ6,0.44,0.0006471823794234311,0.004591368227731864,0.00019335538428958993,0.2909913856037378,0.0010035122930255895
13saZpZnCDWOI9D4IJhp1f,0.72,0.019513855376717144,0.028466483011937556,0.00020521343092152062,0.3229099157485418,0.002007024586051179
085pc2PYOi8bGKj0PNjekA,0.77,0.03977686376198916,0.015610651974288337,0.0012667591357607025,0.39009590917987863,0.020572002007024585
336vr2M3Va0FjyvB55lJEd,0.66,0.011832719770256576,0.008264462809917356,0.0005926993731048254,0.34433310297166553,0.008028098344204716
58Wl2AJZWwfvEn2eAWJbIG,0.38,0.00025235002922783525,0.017447199265381085,0.00022845509712461013,0.31710421638822595,0.002007024586051179
1vsWTWAvfdqNeFmXq72SlC,0.46,1.2229129375654332e-05,0.0,0.000220740720444585,0.3135619886721208,0.002007024586051179
14t0loczakerhStTFLNsqF,0.12,2.35507968541753e-06,0.0,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
6WuzK5jss3xE7z2KYjR72R,0.29,9.031406500041538e-06,0.013774104683195593,0.00013843492697866665,0.32026353848626066,0.0010035122930255895
0BzTIDnFI4pvhy7vVNd41Z,0.46,0.0003866651931213956,0.020202020202020204,0.0003018065357075915,0.3046934719461856,0.0030105368790767683
6UjE74aScUxH89rTiVTtAU,0.07,4.3212471292064773e-08,0.0,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
5s8mrbpjYHWIuGYUzNTpEb,0.49,0.00010417446516734516,0.0036730945821854912,0.00021622165073181636,0.30128495842781555,0.002007024586051179
2blWADqmkwrHjfKfd5gLLy,0.08,6.773554875031154e-06,0.0,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
4ylR3zwA0zaapAu94fktwa,0.65,0.006012874939759114,0.027548209366391185,0.0005577168192888197,0.3310081381830261,0.007526342197691921
49zXTngyUTielHTbbH5YKs,0.5,0.0013829611281134181,0.017447199265381085,0.0002487256934351074,0.293519882179676,0.002007024586051179
6kgrtA0dlnVpWB6zjpXrRb,0.39,0.0005352620787769833,0.01928374655647383,0.0002962780271329841,0.3033947328360481,0.0030105368790767683
6vunRaBya0Sx6CMJZAlHTZ,0.45,0.00013092298489713325,0.0027548209366391185,0.00030152028454330244,0.31539800601360973,0.003512293025589563
